id,distrito,fecha,procedimiento,tipo_obra_ed,tipo_hu,modalidad,estado,area_m2,presupuesto_soles
LIM-202401-001,Lima Metropolitana,2024-01-01,ED-LIC,ED-NUE,,A,Aprobada,6.9,7979.39
LIM-202401-002,Lima Metropolitana,2024-01-01,ED-LIC,ED-NUE,,D,En evaluación,141.8,189784.26
LIM-202401-003,Lima Metropolitana,2024-01-01,ED-LIC,ED-AMP,,B,En evaluación,289.9,210435.1
LIM-202401-004,Lima Metropolitana,2024-01-01,ED-LIC,ED-AMP,,D,Aprobada,819.2,1644263.16
LIM-202401-005,Lima Metropolitana,2024-01-01,ED-LIC,ED-NUE,,A,Aprobada,171.3,188945.71
LIM-202401-006,Lima Metropolitana,2024-01-01,ED-LIC,ED-ACO,,B,Aprobada,80.6,149619.05
LIM-202402-001,Lima Metropolitana,2024-02-01,ED-LIC,ED-NUE,,B,Observada,401.9,811097.79
LIM-202402-002,Lima Metropolitana,2024-02-01,ED-LIC,ED-REF,,B,Aprobada,108.8,95608.91
LIM-202402-003,Lima Metropolitana,2024-02-01,ED-LIC,ED-REM,,A,Aprobada,102.4,127290.48
LIM-202403-001,Lima Metropolitana,2024-03-01,ED-LIC,ED-AMP,,C,Aprobada,72.0,125568.21
LIM-202403-002,Lima Metropolitana,2024-03-01,ED-LIC,ED-CER,,A,Aprobada,194.7,123407.88
LIM-202403-003,Lima Metropolitana,2024-03-01,ED-LIC,ED-NUE,,A,Aprobada,299.3,518133.82
LIM-202403-004,Lima Metropolitana,2024-03-01,HU-LIC,,HU-VIV-VGL,A,Aprobada,47.7,66649.97
LIM-202403-005,Lima Metropolitana,2024-03-01,ED-LIC,ED-DEM,,C,En evaluación,105.7,171863.68
LIM-202403-006,Lima Metropolitana,2024-03-01,ED-LIC,ED-NUE,,C,Aprobada,115.9,184244.89
LIM-202404-001,Lima Metropolitana,2024-04-01,HU-LIC,,HU-REURB,B,Observada,143.3,194904.35
LIM-202404-002,Lima Metropolitana,2024-04-01,ED-LIC,ED-AMP,,D,Observada,154.9,241914.65
LIM-202404-003,Lima Metropolitana,2024-04-01,HU-LIC,,HU-VIV-SIM,B,En evaluación,121.5,139062.4
LIM-202404-004,Lima Metropolitana,2024-04-01,ED-LIC,ED-CER,,D,Aprobada,35.3,46552.1
LIM-202404-005,Lima Metropolitana,2024-04-01,ED-LIC,ED-CER,,C,Aprobada,370.0,619845.27
LIM-202405-001,Lima Metropolitana,2024-05-01,ED-LIC,ED-NUE,,B,En evaluación,120.7,115121.07
LIM-202405-002,Lima Metropolitana,2024-05-01,ED-LIC,ED-REM,,B,Aprobada,149.2,190529.94
LIM-202405-003,Lima Metropolitana,2024-05-01,ED-LIC,ED-NUE,,B,Aprobada,319.2,568539.01
LIM-202405-004,Lima Metropolitana,2024-05-01,ED-LIC,ED-CER,,B,Aprobada,66.8,75590.74
LIM-202406-001,Lima Metropolitana,2024-06-01,ED-LIC,ED-NUE,,C,Aprobada,18.0,24094.01
LIM-202406-002,Lima Metropolitana,2024-06-01,ED-LIC,ED-NUE,,B,Aprobada,178.5,308051.22
LIM-202407-001,Lima Metropolitana,2024-07-01,ED-LIC,ED-AMP,,A,Aprobada,108.5,163108.29
LIM-202407-002,Lima Metropolitana,2024-07-01,ED-LIC,ED-NUE,,B,Observada,179.2,233264.89
LIM-202407-003,Lima Metropolitana,2024-07-01,ED-LIC,ED-AMP,,A,Aprobada,88.4,129655.04
LIM-202407-004,Lima Metropolitana,2024-07-01,HU-LIC,,HU-VIV-CONV,B,Aprobada,166.3,180463.76
LIM-202408-001,Lima Metropolitana,2024-08-01,ED-LIC,ED-AMP,,B,Aprobada,185.1,159112.44
LIM-202408-002,Lima Metropolitana,2024-08-01,ED-LIC,ED-CER,,C,Observada,242.3,194596.84
LIM-202408-003,Lima Metropolitana,2024-08-01,ED-LIC,ED-NUE,,A,Aprobada,205.8,297897.67
LIM-202408-004,Lima Metropolitana,2024-08-01,ED-LIC,ED-CER,,C,Aprobada,96.4,153377.19
LIM-202408-005,Lima Metropolitana,2024-08-01,ED-LIC,ED-NUE,,A,Observada,387.9,531263.03
LIM-202408-006,Lima Metropolitana,2024-08-01,ED-LIC,ED-ACO,,A,Observada,313.6,667517.47
LIM-202408-007,Lima Metropolitana,2024-08-01,ED-LIC,ED-REF,,D,Aprobada,107.8,147027.44
LIM-202409-001,Lima Metropolitana,2024-09-01,ED-LIC,ED-AMP,,B,Aprobada,50.0,97961.04
LIM-202409-002,Lima Metropolitana,2024-09-01,ED-LIC,ED-REF,,B,Aprobada,110.2,78199.92
LIM-202409-003,Lima Metropolitana,2024-09-01,ED-LIC,ED-PUV,,B,Aprobada,244.9,389101.05
LIM-202409-004,Lima Metropolitana,2024-09-01,ED-LIC,ED-DEM,,B,Observada,402.2,319319.97
LIM-202410-001,Lima Metropolitana,2024-10-01,ED-LIC,ED-NUE,,D,Observada,58.5,35379.57
LIM-202410-002,Lima Metropolitana,2024-10-01,ED-LIC,ED-NUE,,B,Aprobada,133.5,174341.01
LIM-202410-003,Lima Metropolitana,2024-10-01,HU-LIC,,HU-VIV-VGL,C,Aprobada,217.2,350669.18
LIM-202410-004,Lima Metropolitana,2024-10-01,ED-LIC,ED-REF,,B,Observada,70.6,88660.66
LIM-202410-005,Lima Metropolitana,2024-10-01,ED-LIC,ED-REF,,A,Aprobada,108.5,190203.03
LIM-202411-001,Lima Metropolitana,2024-11-01,HU-LIC,,HU-VIV-VGL,A,Aprobada,197.6,408473.57
LIM-202411-002,Lima Metropolitana,2024-11-01,ED-LIC,ED-NUE,,B,Aprobada,221.4,309451.78
LIM-202411-003,Lima Metropolitana,2024-11-01,ED-LIC,ED-NUE,,B,Aprobada,278.1,412376.24
LIM-202412-001,Lima Metropolitana,2024-12-01,HU-LIC,,HU-COM,A,Observada,196.7,120886.91
LIM-202412-002,Lima Metropolitana,2024-12-01,ED-LIC,ED-AMP,,C,Aprobada,41.7,58348.35
LIM-202412-003,Lima Metropolitana,2024-12-01,ED-LIC,ED-NUE,,A,En evaluación,70.7,87990.07
LIM-202412-004,Lima Metropolitana,2024-12-01,HU-LIC,,HU-COM,A,En evaluación,81.2,49096.26
LIM-202412-005,Lima Metropolitana,2024-12-01,ED-LIC,ED-NUE,,B,Aprobada,343.0,398444.53
LIM-202412-006,Lima Metropolitana,2024-12-01,ED-LIC,ED-NUE,,B,Aprobada,181.0,148424.62
LIM-202412-007,Lima Metropolitana,2024-12-01,ED-LIC,ED-REM,,C,Observada,96.6,134905.88
LIM-202501-001,Lima Metropolitana,2025-01-01,ED-LIC,ED-REF,,C,Aprobada,94.3,98472.59
LIM-202501-002,Lima Metropolitana,2025-01-01,ED-LIC,ED-AMP,,C,Aprobada,128.5,114994.64
LIM-202501-003,Lima Metropolitana,2025-01-01,ED-LIC,ED-ACO,,A,Observada,63.7,86441.66
LIM-202501-004,Lima Metropolitana,2025-01-01,ED-LIC,ED-REM,,A,Aprobada,113.9,156340.62
LIM-202502-001,Lima Metropolitana,2025-02-01,ED-LIC,ED-DEM,,B,Aprobada,227.3,268139.94
LIM-202502-002,Lima Metropolitana,2025-02-01,HU-LIC,,HU-REURB,C,Aprobada,83.3,80617.33
LIM-202502-003,Lima Metropolitana,2025-02-01,ED-LIC,ED-NUE,,C,Aprobada,164.3,155914.7
LIM-202502-004,Lima Metropolitana,2025-02-01,ED-LIC,ED-NUE,,C,Aprobada,326.5,595930.88
LIM-202502-005,Lima Metropolitana,2025-02-01,HU-LIC,,HU-ETAP,B,Aprobada,114.0,223448.99
LIM-202502-006,Lima Metropolitana,2025-02-01,ED-LIC,ED-REF,,A,Aprobada,176.8,330640.57
LIM-202502-007,Lima Metropolitana,2025-02-01,ED-LIC,ED-ACO,,B,Observada,281.4,444870.47
LIM-202503-001,Lima Metropolitana,2025-03-01,ED-LIC,ED-DEM,,C,Observada,198.0,272093.61
